SQ_CANDIDATO;NR_VOTAVEL;CARGO_N;SITUCAO_N;RECEITA_TOTAL;QTD_VOTOS;CUSTO_VOTO;VR_TOTAL_BEM_CANDIDATO;Recursos_partido;Recursos_proprios;Recursos_outros_candidatos;Recursos_pessoas_fisicas;Rendimentos_aplicacoes;Financiamento_Coletivo;origens_nao_identificadas;Comercio_bens_ou_eventos;Doacoes_Internet;DESPESA_CONTRATADA
170000621391;65613.0;0.7;0.5;0.000615;0.00015130000000000002;0.0004064771976206213;0.0;0.0;0.0;0.00415;0.0002;0.0;0.0;0.0;0.0;0.0;0.0
170000603143;27999.0;0.7;0.5;0.0006801;1.49e-05;0.004564429530201343;0.0004301413;0.0005107;4e-07;0.00018999999999999998;0.00015;0.0;0.0;0.0;0.0;0.0;0.0006011
170000606885;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
170000607373;50750.0;0.7;0.5;5.5e-05;9.3e-06;0.0005913978494623656;0.0;5.5e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
170000615988;23233.0;0.7;0.4;0.00023462;1.34e-05;0.0017508955223880596;0.0;0.00022999999999999998;4.6200000000000015e-06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00020462
170000621400;65180.0;0.7;0.5;0.001369;6.6e-05;0.0020742424242424238;0.0;0.0;0.0;0.01169;0.0002;0.0;0.0;0.0;0.0;0.0;0.00081
170000610280;1524.0;0.6;0.5;0.0;3.1e-06;0.0;0.0123;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
170000627477;1809.0;0.6;0.4;0.00058;3.9399999999999995e-05;0.0014720812182741118;0.0;8e-05;0.0;0.005;0.0;0.0;0.0;0.0;0.0;0.0;7.868e-05
170000627480;18618.0;0.7;0.4;0.001252695;4.91e-05;0.002551313645621181;0.0;0.0;5.2695e-05;0.0;0.0012;0.0;0.0;0.0;0.0;0.0;0.0005526950000000001
170000616985;1000.0;0.6;0.5;0.00173;0.00018759999999999998;0.0009221748400852877;0.0008408601999999999;0.0;0.00133;0.0;0.0004;0.0;0.0;0.0;0.0;0.0;0.0007293499999999999
170000621482;1370.0;0.6;0.5;0.0017640000000000002;0.0001103;0.0015992747053490482;0.008958;0.0015;0.000264;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0017481999999999999
170000614148;77677.0;0.7;0.5;0.002925;0.0001464;0.001997950819672131;0.003043985;0.002525;0.0004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0028924159999999997
170000610281;4033.0;0.6;0.5;0.141100506;0.0043649;0.0032326171504501824;0.002933306;0.131100506;0.0;0.0;0.01;0.0;0.0;0.0;0.0;0.0;0.16482224499999945
