NR_VOTAVEL;CARGO_N;SITUCAO_N;RECEITA_TOTAL;QTD_VOTOS;CUSTO_VOTO;VR_TOTAL_BEM_CANDIDATO;Recursos_partido;Recursos_proprios;Recursos_outros_candidatos;Recursos_pessoas_fisicas;Rendimentos_aplicacoes;Financiamento_Coletivo;origens_nao_identificadas;Comercio_bens_ou_eventos;Doacoes_Internet;DESPESA_CONTRATADA
23777;0.7;0.4;0.00011999999999999999;1.15e-05;0.0010434782608695651;0.0;0.00011999999999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0001
11222;0.7;0.5;0.029175072;0.0022351;0.0013053139456847569;0.006101578999999999;0.01;0.005092872;0.11080699999999999;0.0030015000000000003;0.0;0.0;0.0;0.0;0.0;0.029093292000000003
22333;0.7;0.5;0.0025;0.00016340000000000001;0.0015299877600979193;0.0;0.0;0.0;0.025;0.0;0.0;0.0;0.0;0.0;0.0;0.002495
43123;0.7;0.5;0.003433333;0.0001942;0.0017679366632337796;0.020630000000000003;0.001933333;0.0015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0032983400000000003
65659;0.7;0.5;0.0004625;4.5e-05;0.0010277777777777776;0.0;0.0;0.0;0.002625;0.0002;0.0;0.0;0.0;0.0;0.0;0.0
4050;0.6;0.5;0.02;0.0004068000000000001;0.004916420845624386;0.0;0.02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.020000000000000004
90222;0.7;0.5;0.0025;6.11e-05;0.004091653027823241;0.00037;0.0025;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00249656
20999;0.7;0.5;0.017025904999999997;0.0009245;0.0018416338561384527;0.0002;0.0;0.0;0.13;0.004025;0.0;0.0;0.000905;0.0;0.0;0.016805854999999998
18132;0.7;0.4;4e-05;7.2999999999999996e-06;0.0005479452054794519;0.0;4e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4e-05
27450;0.7;0.5;0.00038500000000000003;4.26e-05;0.0009037558685446008;0.0;0.00026000000000000003;6.1e-05;0.00018999999999999998;4.5e-05;0.0;0.0;0.0;0.0;0.0;0.000306
1836;0.6;0.4;0.00014;1.12e-05;0.00125;0.0;4e-05;0.0001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00014
20999;0.7;0.5;0.017025904999999997;0.0009245;0.0018416338561384527;0.0002;0.0;0.0;0.13;0.004025;0.0;0.0;0.000905;0.0;0.0;0.016805854999999998
13112;0.7;0.5;0.0005;5.379999999999999e-05;0.0009293680297397768;0.0;0.0005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0005
1730;0.6;0.5;0.04;2.7399999999999995e-05;0.145985401459854;0.0051553895;0.04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.039202
77040;0.7;0.5;0.000275;6.2e-06;0.004435483870967742;0.0;2.5e-05;0.0;0.0025;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5052;0.6;0.4;0.000524;3.8299999999999996e-05;0.0013681462140992164;0.0;0.000524;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00045
33030;0.7;0.5;6.528000000000001e-05;8e-06;0.0008160000000000003;0.0;0.0;5.2799999999999986e-06;0.0006;0.0;0.0;0.0;0.0;0.0;0.0;0.0
65700;0.7;0.5;0.00065;7.44e-05;0.0008736559139784948;0.0;0.0;0.0;0.0045;0.0002;0.0;0.0;0.0;0.0;0.0;0.0
12345;0.7;0.2;0.0998;0.003274;0.0030482590103848503;0.0267620913;0.015;0.0848;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09977238700000003
45555;0.7;0.2;0.08593664000000001;0.0045115;0.001904835198936052;0.0009740972;0.0561875;0.0;0.2939914;0.00035;0.0;0.0;0.0;0.0;0.0;0.08346495999999999
28193;0.7;0.5;0.000575;5.489999999999999e-05;0.0010473588342440805;0.0;0.0;0.0;0.0;0.000575;0.0;0.0;0.0;0.0;0.0;0.000365
14777;0.7;0.5;0.0015;2.52e-05;0.005952380952380953;0.0;0.0015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
17017;0.7;0.4;0.001;0.0002444;0.00040916530278232413;0.00073;0.001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001
1400;0.6;0.5;0.12166660699999997;0.0057755;0.0021065986840966148;0.014563301599999997;0.115;2.9999999999999997e-05;0.0;0.006636606999999999;0.0;0.0;0.0;0.0;0.0;0.12126377000000002
23251;0.7;0.4;0.00033999999999999997;4.6e-06;0.007391304347826088;0.0;0.00033999999999999997;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0003
65113;0.7;0.2;0.02635132;0.0029441999999999997;0.0008950247945112426;0.015623627499999997;1.32e-06;0.0029850000000000002;0.1947;0.0038950000000000005;0.0;0.0;0.0;0.0;0.0;0.02570620300000001
