NR_VOTAVEL,DS_CARGO,DS_SIT_TOT_TURNO,RECEITA_TOTAL,QTD_VOTOS,CUSTO_VOTO,VR_TOTAL_BEM_CANDIDATO,Recursos_partido,Recursos_proprios,Recursos_outros_candidatos,Recursos_pessoas_fisicas,Rendimentos_aplicacoes,Financiamento_Coletivo,origens_nao_identificadas,Comercio_bens_ou_eventos,Doacoes_Internet,0.000000000,0.000000000,0.000000000,0,0
20000,DEPUTADO ESTADUAL,ELEITO POR QP,0.086584983979,0.03748114135,0.001768621,0.125492204,-0.000002047,0.410175761,0.162202220,0.030359630,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
13123,DEPUTADO ESTADUAL,ELEITO POR QP,0.014960663592,0.03492251663,0.000318204,0.014234907,0.005966958,0.040687926,0.000138573,0.016208128,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
1012,DEPUTADO FEDERAL,ELEITO POR MÉDIA,0.089401573081,0.03437461227,0.001994324,0.005327608,0.101501972,0.008038189,-0.000132548,0.026088449,-0.002063099,0.001309816,-0.003025794,#DIV/0!,,,,,,
55555,DEPUTADO ESTADUAL,ELEITO POR QP,0.043515846819,0.03433812007,0.000965712,0.005543632,0.003350491,0.006953153,0.095006892,0.122664426,-0.002063099,0.015383324,-0.003025794,#DIV/0!,,,,,,
40444,DEPUTADO ESTADUAL,ELEITO POR QP,0.045219055520,0.03427608332,0.001004562,0.126547162,0.000443646,0.189148878,0.112734471,0.018081478,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
40123,DEPUTADO ESTADUAL,ELEITO POR QP,0.040745621431,0.03376154327,0.000917611,0.009835518,0.000399926,-0.000000945,0.078085168,0.133022348,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
9090,DEPUTADO FEDERAL,SUPLENTE,0.165915720989,0.03333197791,0.003827696,0.045503264,0.179967314,-0.000000945,0.023334574,0.075433452,-0.002063099,0.010137463,-0.003025794,#DIV/0!,,,,,,
40110,DEPUTADO ESTADUAL,ELEITO POR QP,0.040643087760,0.03282577893,0.000941661,0.023102693,0.003480837,0.039372730,0.057128053,0.106674824,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
7700,DEPUTADO FEDERAL,SUPLENTE,0.112510701711,0.03194944475,0.002704733,0.000154676,0.139533123,-0.000000945,-0.000132548,-0.000001775,-0.002063099,0.002397548,-0.003025794,#DIV/0!,,,,,,
40150,DEPUTADO ESTADUAL,ELEITO POR QP,0.025432843107,0.03132230018,0.000614207,0.004653280,-0.000002047,0.022441639,0.084215980,0.054648754,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
6513,DEPUTADO FEDERAL,ELEITO POR QP,0.172969320611,0.03019364848,0.004406753,0.012607325,0.209136454,-0.000000945,0.005717203,0.015436227,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
1400,DEPUTADO FEDERAL,SUPLENTE,0.152078192790,0.03010815246,0.003885047,0.045178351,0.178292892,0.000245654,-0.000132548,0.034150210,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
5122,DEPUTADO FEDERAL,SUPLENTE,0.036125897454,0.02964782939,0.000926861,0.004653280,-0.000002047,-0.000000945,-0.000132548,0.148741838,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
40456,DEPUTADO ESTADUAL,ELEITO POR QP,0.071291760640,0.02949716873,0.001851872,0.051767583,0.063421024,0.032878951,0.068846474,0.032958952,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
55155,DEPUTADO ESTADUAL,ELEITO POR QP,0.054378218537,0.02936840338,0.001415267,0.088024625,0.001246525,0.210799254,0.085026449,0.051402178,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
2525,DEPUTADO FEDERAL,SUPLENTE,0.130721094075,0.02821889900,0.003561293,0.002899464,0.054261630,-0.000000945,-0.000132548,0.358057226,0.025391989,-0.000198576,-0.003025794,#DIV/0!,,,,,,
4020,DEPUTADO FEDERAL,ELEITO POR MÉDIA,0.173005943083,0.02794051562,0.004763808,0.010476965,0.204509178,-0.000000945,0.000883852,0.033009821,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
3131,DEPUTADO FEDERAL,ELEITO POR MÉDIA,0.029456552539,0.02753753744,0.000812160,-0.000000031,0.022052293,-0.000000945,-0.000132548,0.048083486,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
20620,DEPUTADO ESTADUAL,ELEITO POR QP,0.061801599126,0.02704802061,0.001750121,0.055522671,0.049610458,0.082198795,0.060340648,0.012485855,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
20100,DEPUTADO ESTADUAL,ELEITO POR QP,0.014961788592,0.02647665698,0.000423655,0.001185012,0.010850689,-0.000000945,0.033269469,0.011326631,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
40654,DEPUTADO ESTADUAL,ELEITO POR QP,0.040041368218,0.02636613774,0.001158114,0.058770668,0.000471100,0.164398536,0.112864356,0.012113969,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
40100,DEPUTADO ESTADUAL,ELEITO POR QP,0.051572379426,0.02616334535,0.001507768,0.107299779,0.001386735,0.305684544,0.038161684,-0.000001775,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
25555,DEPUTADO ESTADUAL,ELEITO POR QP,0.034620023602,0.02609557412,0.001010112,0.009864988,0.007749907,0.012329016,0.181879526,0.031363100,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
