"SQ_CANDIDATO";"NM_VOTAVEL";"NR_VOTAVEL";"SITUCAO";"DS_CARGO";"CARGO_N";"SITUCAO_N";"RECEITA_TOTAL";"QTD_VOTOS";"CUSTO_VOTO";"VR_TOTAL_BEM_CANDIDATO";"Recursos_partido";"Recursos_proprios";"Recursos_outros_candidatos";"Recursos_pessoas_fisicas";"Rendimentos_aplicacoes";"Financiamento_Coletivo";"origens_nao_identificadas";"Comercio_bens_ou_eventos";"Doacoes_Internet";"DESPESA_CONTRATADA"
170000617085;FRANCISCO GERAERTES CALDAS DA SILVA;1755;SUPLENTE;DEPUTADO FEDERAL;0.6000;0.5000;0.00179;0.0004406;0.0004062641852019973;0.00135;0.0015;0.00029;;;;;;;;0.0017913200000000005
170000610390;SIVALDO RODRIGUES ALBINO;40400;SUPLENTE;DEPUTADO ESTADUAL;0.7000;0.5000;0.007324406999999999;0.0018256;0.00040120546669588074;;0.00022746500000000002;0.0000022399999999999997;0.026357;0.004459002;;;;;;0.0035450420000000004
170000617090;MARIA JOSÉ DE OLIVEIRA;1722;SUPLENTE;DEPUTADO FEDERAL;0.6000;0.5000;0.001006325;0.0002529;0.00039791419533412417;;0.001;;;;;0.00006325;;;;0.001002583
170000621383;JOSÉ PAULO DA SILVA FILHO;65200;SUPLENTE;DEPUTADO ESTADUAL;0.7000;0.5000;0.000405;0.0001031;0.0003928225024248303;;;;0.00205;0.0002;;;;;;
170000617094;LUPERCIO ALVES BEZERRA;17700;SUPLENTE;DEPUTADO ESTADUAL;0.7000;0.5000;0.00335;0.0008538;0.0003923635511829468;0.0015668;0.0025;;0.0085;;;;;;;0.00335
170000617392;WERVESON LEANDRO DE ARAUJO;12222;SUPLENTE;DEPUTADO ESTADUAL;0.7000;0.5000;0.00086354;0.0002207;0.00039127322156773896;0.00027095;;;;0.00086354;;;;;;0.00066354
170000603140;MARIA GORETTI CORDEIRO DE QUEIROZ;20600;SUPLENTE;DEPUTADO ESTADUAL;0.7000;0.5000;0.0020375;0.0005229;0.0003896538535092752;0.0010815886999999999;;0.0002025;;0.001835;;;;;;0.0018334529999999999
170000610286;JOÃO HENRIQUE DE ANDRADE LIMA CAMPOS;4040;ELEITO POR QP;DEPUTADO FEDERAL;0.6000;0.2000;0.17915831000000002;0.0460387;0.0003891471957288108;0.0012339846;0.153786446;;0.00955875;0.0244;0.15989;;;;;0.17089803299999992
170000621479;EUCLIDES RONALDO LEITE;13813;SUPLENTE;DEPUTADO ESTADUAL;0.7000;0.5000;0.0015;0.0003879;0.0003866976024748646;0.00498;;0.0015;;;;;;;;
170000621470;ERNESTO LÁZARO MAIA;1312;SUPLENTE;DEPUTADO FEDERAL;0.6000;0.5000;0.0019;0.0004924;0.0003858651502843217;;0.0015;0.0003;;0.0001;;;;;;0.0019
170000617056;WILLIAM DOS SANTOS BRIGIDO;10123;ELEITO POR QP;DEPUTADO ESTADUAL;0.7000;0.2000;0.01794065;0.0046759;0.00038368335507602816;;0.01084;;0.0710065;;;;;;;0.01780065
